cik,coname,form,file_date,file_name,hlink,rdate,secadate,secatime,accession,type,document,file_size,sequence,description
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,10-Q,nick-10q_20191231.htm,2291505.0,1.0,10-Q
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-31.1,nick-ex311_7.htm,18339.0,2.0,EX-31.1
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-31.2,nick-ex312_6.htm,18371.0,3.0,EX-31.2
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-32.1,nick-ex321_8.htm,3657.0,4.0,EX-32.1
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-32.2,nick-ex322_9.htm,3619.0,5.0,EX-32.2
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,,0001564590-20-004703.txt,8397054.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.INS,nick-20191231.xml,2148940.0,6.0,XBRL INSTANCE DOCUMENT
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.SCH,nick-20191231.xsd,51590.0,7.0,XBRL TAXONOMY EXTENSION SCHEMA
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.CAL,nick-20191231_cal.xml,59106.0,8.0,XBRL TAXONOMY EXTENSION CALCULATION LINKBASE
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.DEF,nick-20191231_def.xml,159101.0,9.0,XBRL TAXONOMY EXTENSION DEFINITION LINKBASE
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.LAB,nick-20191231_lab.xml,356118.0,10.0,XBRL TAXONOMY EXTENSION LABEL LINKBASE
1000045,NICHOLAS FINANCIAL INC,10-Q,2020-02-14,edgar/data/1000045/0001564590-20-004703.txt,https://www.sec.gov/Archives/edgar/data/1000045/000156459020004703/0001564590-20-004703-index.html,2019-12-31,2020-02-14,08:32:03,0001564590-20-004703,EX-101.PRE,nick-20191231_pre.xml,292443.0,11.0,XBRL TAXONOMY EXTENSION PRESENTATION LINKBASE
1000045,NICHOLAS FINANCIAL INC,4,2020-02-11,edgar/data/1000045/0001794162-20-000001.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000001/0001794162-20-000001-index.html,2020-02-10,2020-02-11,10:11:32,0001794162-20-000001,4.0,primary_doc.html,,1.0,PRIMARY DOCUMENT
1000045,NICHOLAS FINANCIAL INC,4,2020-02-11,edgar/data/1000045/0001794162-20-000001.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000001/0001794162-20-000001-index.html,2020-02-10,2020-02-11,10:11:32,0001794162-20-000001,4.0,primary_doc.xml,3038.0,1.0,PRIMARY DOCUMENT
1000045,NICHOLAS FINANCIAL INC,4,2020-02-11,edgar/data/1000045/0001794162-20-000001.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000001/0001794162-20-000001-index.html,2020-02-10,2020-02-11,10:11:32,0001794162-20-000001,,0001794162-20-000001.txt,4423.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,4,2020-03-02,edgar/data/1000045/0001794162-20-000002.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000002/0001794162-20-000002-index.html,2020-02-28,2020-03-02,14:47:04,0001794162-20-000002,4.0,primary_doc.html,,1.0,PRIMARY DOCUMENT
1000045,NICHOLAS FINANCIAL INC,4,2020-03-02,edgar/data/1000045/0001794162-20-000002.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000002/0001794162-20-000002-index.html,2020-02-28,2020-03-02,14:47:04,0001794162-20-000002,4.0,primary_doc.xml,3039.0,1.0,PRIMARY DOCUMENT
1000045,NICHOLAS FINANCIAL INC,4,2020-03-02,edgar/data/1000045/0001794162-20-000002.txt,https://www.sec.gov/Archives/edgar/data/1000045/000179416220000002/0001794162-20-000002-index.html,2020-02-28,2020-03-02,14:47:04,0001794162-20-000002,,0001794162-20-000002.txt,4424.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,4,2020-03-03,edgar/data/1000045/0001398344-20-005055.txt,https://www.sec.gov/Archives/edgar/data/1000045/000139834420005055/0001398344-20-005055-index.html,2020-02-28,2020-03-03,19:11:07,0001398344-20-005055,4.0,fp0051482_4.html,,1.0,
1000045,NICHOLAS FINANCIAL INC,4,2020-03-03,edgar/data/1000045/0001398344-20-005055.txt,https://www.sec.gov/Archives/edgar/data/1000045/000139834420005055/0001398344-20-005055-index.html,2020-02-28,2020-03-03,19:11:07,0001398344-20-005055,4.0,fp0051482_4.xml,10969.0,1.0,
1000045,NICHOLAS FINANCIAL INC,4,2020-03-03,edgar/data/1000045/0001398344-20-005055.txt,https://www.sec.gov/Archives/edgar/data/1000045/000139834420005055/0001398344-20-005055-index.html,2020-02-28,2020-03-03,19:11:07,0001398344-20-005055,,0001398344-20-005055.txt,13503.0,,Complete submission text file
1000045,NICHOLAS FINANCIAL INC,4,2020-03-06,edgar/data/1000045/0001398344-20-005566.txt,https://www.sec.gov/Archives/edgar/data/1000045/000139834420005566/0001398344-20-005566-index.html,2020-03-05,2020-03-06,17:47:26,0001398344-20-005566,4.0,fp0051764_4.html,,1.0,
1000045,NICHOLAS FINANCIAL INC,4,2020-03-06,edgar/data/1000045/0001398344-20-005566.txt,https://www.sec.gov/Archives/edgar/data/1000045/000139834420005566/0001398344-20-005566-index.html,2020-03-05,2020-03-06,17:47:26,0001398344-20-005566,4.0,fp0051764_4.xml,6815.0,1.0,
